stock_id,時間,開盤價,最高價,最低價,收盤價,漲跌幅,SMA5,SMA10,SMA20,SMA60,控盤者成本線,成交量,MA5,MA10,融資(張),差額(張),買進(張),賣出(張),現償(張),使用率,融券(張),差額(張).1,買進(張).1,賣出(張).1,券償(張),使用率.1,買賣超(張),外資持股(張),買進(張).2,賣出(張).2,外資持股比例,買賣超(張).1,投信持股(張),買進(張).3,賣出(張).3,投信持股比例,買賣超(張).2,自營商持股(張),買進(張).4,賣出(張).4,自營商持股比例,買賣超(張).3,主力持股(張),買進(張).5,賣出(張).5
1605,2015/6/8,7.64,7.65,7.35,7.46,-2.36,7.79,7.99,8.2,8.96,9.09,21176,20698,45841,101412,-176,3153,2827,502,0.1134,243,-23,25,2,0,0.0003,-6041,888143,4425,10466,0.2483,0,2,0,0,0,-150,5663,231,381,0.0016,-5374,63683,4556,9930
1605,2015/6/9,7.36,7.37,6.84,6.87,-7.91,7.54,7.84,8.1,8.92,9.06,37597,24470,48096,94395,-7017,5243,11968,292,0.1056,392,149,2,151,0,0.0004,-4402,883610,6864,11266,0.247,0,2,0,0,0,-200,5463,168,368,0.0015,-6199,57484,9012,15211
1605,2015/8/21,6.96,6.98,6.81,6.82,-3.26,7.11,7.21,7.09,7.33,8.72,7435,6190,7236,84160,-385,1152,1412,125,0.0941,165,-19,55,36,0,0.0002,-834,795586,1302,2136,0.2224,0,526,0,0,0.0001,-149,4639,7,156,0.0013,-339,57067,3642,3981
1605,2015/8/24,6.75,6.75,6.14,6.16,-9.68,6.86,7.1,7.05,7.29,8.67,25871,10516,9012,74395,-9765,4641,14179,227,0.0832,133,-32,32,0,0,0.0001,-3209,792377,484,3693,0.2215,0,526,0,0,0.0001,-540,4099,192,732,0.0011,-3921,53146,7653,11574
1605,2018/2/5,16.45,16.45,16.25,16.4,-2.38,16.71,16.78,17.13,16.84,16.12,5796,6141,6837,31181,-157,658,815,0,0.0371,560,45,25,70,0,0.0007,-181,1145202,1701,1882,0.3402,0,17730,0,0,0.0053,-512,19142,215,727,0.0057,-142,502266,2268,2410
1605,2018/2/6,16.1,16.15,14.8,15.05,-8.23,16.38,16.59,17,16.83,16.09,23426,9170,8627,30157,-1024,2122,3126,20,0.0358,661,101,66,168,1,0.0008,-1900,1142951,3121,5021,0.3395,0,17730,0,0,0.0053,-2407,16735,594,3001,0.005,-1063,501203,7590,8653
1605,2018/10/9,19.15,19.15,18.6,18.7,-1.32,19.59,20.05,19.86,20.65,20.93,17909,16343,13107,39832,770,1734,946,18,0.0479,1382,-291,601,310,0,0.0017,-6040,1183433,4602,10642,0.3558,13,6986,13,0,0.0021,-607,9936,218,825,0.003,-6536,456203,4721,11257
1605,2018/10/11,17,17.25,16.85,16.85,-9.89,18.84,19.68,19.74,20.59,20.82,19251,18502,14332,36850,-2982,1604,4501,85,0.0443,1250,-132,312,180,0,0.0015,-3429,1180061,2680,6109,0.3547,8,6994,8,0,0.0021,-95,9841,320,415,0.003,-3845,452358,4944,8789
1605,2018/10/24,15.8,15.9,15.5,15.5,-1.59,15.93,16.19,18.12,19.85,20.05,12537,15149,17758,35353,149,973,819,5,0.0425,1309,-249,362,113,0,0.0016,-4643,1149610,1568,6211,0.3456,-998,5207,2,1000,0.0016,151,8157,322,171,0.0025,-3993,432461,2553,6546
1605,2018/10/25,14.85,14.9,14.35,14.4,-7.1,15.61,15.94,17.81,19.74,19.93,22523,15820,18086,32611,-2742,1494,4174,62,0.0392,1507,198,194,392,0,0.0018,1886,1151516,6894,5008,0.3462,-2096,3111,4,2100,0.0009,-938,7219,39,977,0.0022,-864,431597,8459,9323
1605,2019/6/17,15.9,16.1,15.85,16,0.63,15.99,16.07,15.83,16.78,17.68,31303,17591,15158,52375,-589,1210,1796,3,0.063,0,0,0,0,0,0,-884,817909,6439,7323,0.2459,7,2705,7,0,0.0008,3448,16723,3458,10,0.005,-1573,180697,11979,13552
1605,2019/6/18,14.9,15,14.85,14.85,-7.19,15.77,15.94,15.78,16.73,17.53,49784,24554,18192,46904,-5471,1396,6864,3,0.0564,42,42,0,42,0,0.0001,29261,847543,33108,3847,0.2548,-12,2693,4,16,0.0008,-3121,13602,150,3271,0.0041,-6302,174395,24184,30486
1605,2020/3/11,13.55,13.6,13.05,13.1,-2.96,13.72,13.92,14.04,14.72,15.69,15849,11276,10099,32350,211,843,624,8,0.0389,242,14,3,17,0,0.0003,-7671,755504,3955,11626,0.2271,0,94662,0,0,0.0285,2292,49970,2523,231,0.015,-5037,236445,6036,11073
1605,2020/3/12,12.95,12.95,11.85,12.1,-7.63,13.3,13.71,13.94,14.68,15.6,31564,16894,12709,27108,-5242,794,5968,68,0.0326,291,49,27,76,0,0.0003,-6912,749472,5225,12137,0.2253,9,94671,9,0,0.0285,11165,61135,11866,701,0.0184,-1197,235248,16668,17865
1605,2020/3/12,12.95,12.95,11.85,12.1,-7.63,13.3,13.71,13.94,14.68,15.6,31564,16894,12709,27108,-5242,794,5968,68,0.0326,291,49,27,76,0,0.0003,-6912,749472,5225,12137,0.2253,9,94671,9,0,0.0285,11165,61135,11866,701,0.0184,-1197,235248,16668,17865
1605,2020/3/13,11.1,11.45,10.9,11.2,-7.44,12.7,13.44,13.78,14.62,15.48,31712,22351,14954,22538,-4570,967,5227,310,0.0271,301,10,39,49,0,0.0004,-1304,748849,7440,8744,0.2251,0,94671,0,0,0.0285,9924,71059,10496,572,0.0214,448,235696,11937,11489
1605,2021/5/3,30.6,31.5,28.7,28.75,-5.74,28.28,25.55,22.73,19.68,25.36,124762,183072,131570,43144,-645,8335,8980,0,0.0503,3181,-644,760,116,0,0.0037,-4323,764142,20863,25185,0.2226,0,822,0,0,0.0002,24,113935,2810,2787,0.0332,-6800,292687,7978,14778
1605,2021/5/4,29.2,30,25.9,26.4,-8.17,28.59,25.84,23.1,19.83,25.47,112239,187116,132510,39257,-3887,5019,8899,7,0.0458,1064,-2117,2315,217,19,0.0012,18332,783475,39858,21526,0.2283,-165,657,0,165,0.0002,-1760,112175,2242,4003,0.0327,15677,308364,24213,8536
1605,2021/5/10,30.65,32.1,29.9,31.65,5.85,29.39,28.84,25.27,20.72,27.51,234806,166187,174629,61876,14275,25622,11345,2,0.0721,4801,1758,280,2040,2,0.0056,10638,746079,42989,32351,0.2174,0,657,0,0,0.0002,2869,116839,7606,4737,0.0341,7692,281158,20206,12514
1605,2021/5/11,30,31.1,28.5,28.7,-9.32,29.85,29.22,25.69,20.92,27.71,139439,171627,179372,56874,-5002,12184,17186,0,0.0663,2909,-1892,2228,336,0,0.0034,-15346,731944,17106,32452,0.2133,0,657,0,0,0.0002,-2580,114259,2615,5195,0.0333,-12984,268174,11457,24441
1605,2021/5/11,30,31.1,28.5,28.7,-9.32,29.85,29.22,25.69,20.92,27.71,139439,171627,179372,56874,-5002,12184,17186,0,0.0663,2909,-1892,2228,336,0,0.0034,-15346,731944,17106,32452,0.2133,0,657,0,0,0.0002,-2580,114259,2615,5195,0.0333,-12984,268174,11457,24441
1605,2021/5/12,27.95,27.95,25.85,25.85,-9.93,29.22,29.08,25.99,21.07,27.66,72745,156371,159566,50284,-6590,4604,10665,529,0.0586,1320,-1589,1938,349,0,0.0015,9608,743308,20280,10672,0.2166,0,657,0,0,0.0002,-3069,111190,1182,4251,0.0324,5645,273819,14910,9265
1605,2021/5/12,27.95,27.95,25.85,25.85,-9.93,29.22,29.08,25.99,21.07,27.66,72745,156371,159566,50284,-6590,4604,10665,529,0.0586,1320,-1589,1938,349,0,0.0015,9608,743308,20280,10672,0.2166,0,657,0,0,0.0002,-3069,111190,1182,4251,0.0324,5645,273819,14910,9265
1605,2021/5/13,23.5,25.4,23.3,23.4,-9.48,27.9,28.42,26.17,21.18,27.43,94824,129553,148466,44672,-5612,3526,9005,133,0.0521,482,-838,838,0,0,0.0006,8308,751240,33790,25482,0.2189,0,657,0,0,0.0002,-1651,109538,1499,3150,0.0319,3405,277224,17107,13702
1605,2021/5/14,24.2,24.8,22.5,23.05,-1.5,26.53,27.67,26.27,21.28,27.3,68466,122056,133117,39929,-4743,2541,7140,144,0.0465,744,262,75,340,3,0.0009,4871,756301,21082,16211,0.2204,0,657,0,0,0.0002,-206,109332,1161,1368,0.0319,2437,279661,9612,7175
1605,2021/5/17,20.8,22.35,20.75,20.85,-9.54,24.37,26.88,26.21,21.34,27.13,58452,86785,126486,34059,-5870,1459,7057,271,0.0397,797,53,286,365,26,0.0009,18861,773295,28215,9354,0.2253,0,657,0,0,0.0002,-619,108713,1291,1910,0.0317,15860,295521,21586,5726
1605,2021/11/25,28.1,28.7,27.8,28.65,3.06,27.86,27.64,27.32,26.17,27.03,28595,17009,13842,37133,3063,5370,2305,2,0.0433,933,115,5,122,2,0.0011,8943,787149,10938,1995,0.2294,0,5487,0,0,0.0016,1222,112470,1362,140,0.0328,10660,343110,14374,3714
1605,2021/11/26,28.65,28.65,26.55,26.6,-7.16,27.69,27.54,27.36,26.16,27.04,47148,24709,17123,38118,985,4634,3639,10,0.0444,796,-137,167,30,0,0.0009,-24555,764865,1829,26384,0.2229,22,5509,22,0,0.0016,-869,111601,378,1247,0.0325,-21545,321565,6923,28468
1795,2015/8/3,72.1,74.3,71.8,73.5,1.38,74.06,77.73,78.68,77.79,90.37,2067,2888,3672,14329,-90,287,377,0,0.6559,1970,-44,351,307,0,0.0902,-102,153445,26,128,0.6433,0,35,0,0,0.0001,0,116,0,0,0.0005,136,-34793,527,391
1795,2015/8/4,73.8,74.6,66.2,66.2,-9.93,72.16,75.85,78.09,77.41,89.71,4515,3072,3704,13461,-868,950,1813,5,0.6161,2355,385,371,756,0,0.1078,-138,153307,46,184,0.6428,0,35,0,0,0.0001,-30,86,0,30,0.0004,-517,-35310,840,1357
1795,2015/8/21,65.3,66.9,64.3,64.7,-4.29,67.1,69.21,69.93,75.07,87.26,2149,2485,3071,11751,-164,360,511,13,0.5379,2348,-43,366,328,5,0.1075,-14,152931,0,14,0.6412,0,35,0,0,0.0001,5,51,10,5,0.0002,-133,-35033,375,508
1795,2015/8/24,62.5,64,58.3,58.3,-9.89,64.64,67.86,69.14,74.74,86.82,3221,2838,2888,10764,-987,824,1789,22,0.4927,1951,-397,397,0,0,0.0893,-24,152907,0,24,0.6411,0,35,0,0,0.0001,-10,41,10,20,0.0002,-94,-35127,615,709
1795,2016/11/8,51.4,51.8,48.7,49.9,-2.35,51.4,54.44,56.74,59.47,76.21,992,584,508,7179,-31,236,254,13,0.3286,319,53,91,144,0,0.0146,32,155081,35,3,0.6502,0,1067,0,0,0.0045,2,106,2,0,0.0004,-171,-36934,202,373
1795,2016/11/9,49.85,50.2,45.5,45.6,-8.62,50.02,53.16,56.02,59.21,76.18,1013,638,596,6937,-242,214,442,14,0.3175,327,8,47,55,0,0.015,104,155185,113,9,0.6506,0,1067,0,0,0.0045,1,107,1,0,0.0004,13,-36921,322,309
1795,2018/2/5,48.9,48.9,47.85,48.8,-0.41,49.02,49.57,49.72,50.04,65.9,218,248,307,6048,-21,14,34,1,0.2768,35,3,3,6,0,0.0016,1,157646,14,13,0.661,0,1412,0,0,0.0059,0,805,0,0,0.0034,-27,-42872,89,116
1795,2018/2/6,47.5,47.8,43.95,44.5,-8.81,48.05,49.03,49.45,49.94,65.87,904,364,367,5841,-207,120,325,2,0.2674,32,-3,6,3,0,0.0015,15,157663,41,26,0.661,0,1412,0,0,0.0059,0,805,0,0,0.0034,-97,-42969,294,391
1795,2018/7/3,78.5,78.6,72.2,73.5,-5.65,76.42,79.33,83.03,79.57,83.17,3213,2410,3240,10617,104,590,486,0,0.4876,407,-21,128,107,0,0.0187,-138,158384,79,217,0.6649,0,3207,0,0,0.0135,-109,502,45,154,0.0021,-371,-49762,384,755
1795,2018/7/4,73.4,73.4,66.6,67.5,-8.16,74.5,77.79,81.96,79.68,82.86,6254,3211,3378,11087,470,1136,661,5,0.5092,646,239,123,363,1,0.0297,666,159659,709,43,0.6702,-1508,1699,0,1508,0.0071,-143,359,153,296,0.0015,-957,-50719,1116,2073
1795,2018/8/10,69,70.5,68.3,68.5,-0.72,70.04,69.41,69.58,75.23,80.37,1661,2665,2774,11346,-46,240,275,11,0.5211,858,-8,34,26,0,0.0394,-23,159315,57,80,0.6688,0,1781,0,0,0.0075,17,379,17,0,0.0016,31,-54083,323,292
1795,2018/8/13,68.5,68.5,61.7,63.1,-7.88,68.14,69.04,69,75.03,80.26,3269,2290,2986,10755,-591,380,964,7,0.4939,673,-185,307,123,1,0.0309,-54,159357,167,221,0.669,0,1781,0,0,0.0075,-66,313,29,95,0.0013,-143,-54226,483,626
1795,2018/9/6,61.6,62.4,60.6,61,-0.16,61.58,61.74,62.71,69.44,79.58,1718,1129,1132,10690,143,225,82,0,0.4909,603,-21,41,20,0,0.0277,-412,158140,17,429,0.6638,0,1694,0,0,0.0071,-1,166,24,25,0.0007,-363,-55339,201,564
1795,2018/9/7,60.5,60.8,55,55,-9.84,60.1,61.2,62.04,68.9,79.29,4149,1663,1428,9734,-956,460,1398,18,0.447,824,221,183,404,0,0.0378,-82,158068,169,251,0.6635,-75,1619,73,148,0.0068,-55,111,85,140,0.0005,-669,-56008,487,1156
1795,2018/12/18,80.8,81.3,78.9,79,-2.35,80.28,79.26,77.75,65.7,73.72,3195,4642,6972,9003,38,374,336,0,0.4135,2925,-131,188,66,9,0.1343,-439,165255,89,528,0.6937,8,7310,8,0,0.0307,44,423,46,2,0.0018,-227,-45573,458,685
1795,2018/12/19,79.6,79.6,71.3,71.3,-9.75,78.22,78.62,77.79,66.01,73.75,11417,5420,7756,8772,-231,1321,1550,2,0.4028,2650,-275,930,655,0,0.1217,-560,164728,229,789,0.6915,-1062,6248,65,1127,0.0262,-10,413,5,15,0.0017,-1357,-46930,908,2265
1795,2019/2/22,104,107.5,102,106,-0.47,107.9,102.01,89.61,80.5,90.19,6880,11188,11058,10216,382,969,577,10,0.4692,3408,-83,176,93,0,0.1565,160,169502,746,586,0.7115,80,10518,133,53,0.0442,41,692,55,14,0.0029,192,-39582,1458,1266
1795,2019/2/25,100,101,95.5,96.2,-9.25,105.74,102.53,90.92,80.93,90.85,12590,10378,11152,9574,-642,1830,2472,0,0.4397,2709,-699,770,71,0,0.1244,45,169547,693,648,0.7117,-1505,9013,366,1871,0.0378,-151,541,44,195,0.0023,-1654,-41236,1322,2976
1795,2019/7/29,122,123,120.5,120.5,-0.82,121.2,121.85,119.55,109.11,115.18,1248,2951,4988,11136,-86,151,227,10,0.5114,1621,-19,30,11,0,0.0744,-89,171760,11,100,0.7064,0,4769,0,0,0.0196,20,886,20,0,0.0036,-64,-52875,230,294
1795,2019/7/30,120.5,121.5,108.5,108.5,-9.96,118.7,120.3,119.13,109.31,115,6291,3801,4405,11336,200,1190,986,4,0.5206,2454,833,348,1182,1,0.1127,113,171778,371,258,0.7065,0,4769,0,0,0.0196,-98,788,0,98,0.0032,-1788,-54663,1020,2808
1795,2019/7/30,120.5,121.5,108.5,108.5,-9.96,118.7,120.3,119.13,109.31,115,6291,3801,4405,11336,200,1190,986,4,0.5206,2454,833,348,1182,1,0.1127,113,171778,371,258,0.7065,0,4769,0,0,0.0196,-98,788,0,98,0.0032,-1788,-54663,1020,2808
1795,2019/7/31,104,104,97.8,98.8,-8.94,113.86,117.78,118.17,109.31,113.65,16185,5918,5359,11205,-131,1684,1808,7,0.5146,907,-1547,1547,0,0,0.0417,247,172045,1081,834,0.7076,-1904,2865,0,1904,0.0118,-118,670,36,154,0.0028,-1426,-56089,2470,3896
